ID;29;30;31;32;33;34;35;36
SEhs01;2;2;2;2;2;2;3;2
SEhs02;1;1;1;2;3;2;2;3
SEhs03;2;3;2;2;2;2;2;2
SEhs04;2;3;3;2;2;2;4;2
SEhs05;3;1;2;2;3;2;4;2
SEhs06;2;3;2;3;2;3;2;2
SEhs07;2;3;2;3;3;3;3;3
SEhs08;1;2;3;2;3;2;3;3
SEhs09;4;2;3;1;4;2;2;3
SEhs10;2;3;2;4;2;2;3;3
SEhs11;4;2;1;2;2;3;4;2
SEhs12;2;3;3;4;4;3;4;3
SEhs13;2;2;4;3;3;3;3;2
SEhs14;2;2;4;3;3;3;3;2
SEhs15;2;3;3;3;4;3;4;3
SEhs16;4;2;3;1;4;2;2;3
SEhs17;3;3;3;2;2;3;3;3
SEhs18;2;3;3;2;2;3;3;3
SEhs19;2;2;2;2;2;2;3;2
SEhs20;3;4;4;4;2;4;4;4
SEhs21;3;2;2;1;2;4;1;3
SEhs22;2;3;3;3;3;3;3;3
SEhs23;2;2;2;2;2;2;2;2
SEhs24;2;2;3;3;2;3;2;3
SEhs25;2;2;2;3;3;2;4;3
SEhs26;1;3;2;3;4;4;4;3
SEhs27;1;3;2;3;4;4;4;3
SEhs28;4;4;4;4;4;4;3;3
SEhs29;3;3;2;2;3;4;3;3
SEhs30;3;2;2;4;2;3;3;2
SEhs31;4;3;3;3;3;3;3;3
SEhs32;2;3;2;2;2;3;3;2
SEhs33;2;3;2;3;2;2;2;2
SEhs34;2;2;2;2;2;2;2;2
SEhs35;2;3;2;2;2;2;2;2
SEhs36;2;3;3;3;1;1;3;2
SEhs37;4;4;4;4;4;4;3;3
SEhs38;1;4;3;3;4;1;3;2
SEhs39;3;2;2;2;2;1;3;2
SEhs40;4;2;3;3;3;2;4;3
SEhs41;2;3;1;4;2;2;3;2
SEhs42;2;2;3;4;3;3;3;2
SEhs43;1;3;3;1;3;2;3;2
SEhs44;2;3;3;4;1;4;4;3
SEhs45;4;3;4;2;4;3;3;2
SEhs46;2;3;2;3;3;3;4;4
SEhs47;2;3;3;1;2;2;4;2
SEhs48;3;3;2;2;2;3;4;3
SEhs49;2;4;4;4;3;4;4;4
SEhs50;3;4;3;4;4;4;4;3
SEhs51;1;2;3;4;2;2;4;2
SEhs52;1;4;2;4;4;4;4;4
SEhs53;2;2;2;2;4;4;2;2
SEhs54;2;2;2;1;4;3;2;3
SEhs55;3;3;3;3;2;3;3;3
SEhs56;2;3;3;2;3;3;3;3
SEhs57;3;3;3;2;2;3;2;3
SEhs58;4;3;3;4;1;2;1;4
SEhs59;2;3;4;2;4;3;3;3
SEhs60;4;4;4;2;3;4;3;2
SEhs61;2;4;4;2;2;2;4;3
SEhs62;2;2;1;1;2;2;2;2
SEhs63;1;4;4;2;3;3;4;2
SEhs64;2;2;2;2;2;2;2;2
SEhs65;3;4;3;2;4;4;3;2
SEhs66;2;3;2;2;3;2;2;3
SEhs67;1;3;4;4;2;4;4;3
SEhs68;2;2;3;4;1;2;3;2
SEhs69;3;3;2;2;2;3;3;3
SEhs70;3;3;3;2;4;3;4;3
SEhs71;4;3;3;3;3;3;3;3
SEhs72;2;4;3;2;4;3;3;3
SEhs73;3;3;3;3;3;3;3;2
SEhs74;2;2;2;2;1;2;3;2
SEhs75;4;3;3;2;1;3;1;4
SEhs76;4;4;2;3;3;4;4;4
SEhs77;1;1;3;2;2;1;3;2
